y_over_delta,y_plus,u_plus
8.5250000000000004e-01,9.5123540874807532e+02,9.7314493430258537e+01
8.5499999999999998e-01,9.5402495540129553e+02,9.7327433362820983e+01
8.5750000000000004e-01,9.5681450205451574e+02,9.7340237152984869e+01
8.5999999999999999e-01,9.5960404870773573e+02,9.7352224088757524e+01
8.6250000000000004e-01,9.6239359536095606e+02,9.7364211024530178e+01
8.6499999999999999e-01,9.6518314201417604e+02,9.7376197960302846e+01
8.6750000000000005e-01,9.6797268866739637e+02,9.7388184896075501e+01
8.7000000000000000e-01,9.7076223532061636e+02,9.7399283857822269e+01
8.7250000000000005e-01,9.7355178197383657e+02,9.7410295054694359e+01
8.7500000000000000e-01,9.7634132862705678e+02,9.7421306251566492e+01
8.7750000000000006e-01,9.7913087528027688e+02,9.7432317448438582e+01
8.8000000000000000e-01,9.8192042193349710e+02,9.7442723367879736e+01
8.8250000000000006e-01,9.8470996858671731e+02,9.7452840834795225e+01
8.8500000000000001e-01,9.8749951523993741e+02,9.7462958301710700e+01
8.8750000000000007e-01,9.9028906189315762e+02,9.7473075768626188e+01
8.9000000000000001e-01,9.9307860854637784e+02,9.7482802104024529e+01
8.9250000000000007e-01,9.9586815519959794e+02,9.7492039525026414e+01
8.9500000000000002e-01,9.9865770185281804e+02,9.7501276946028298e+01
8.9749999999999996e-01,1.0014472485060381e+03,9.7510514367030183e+01
9.0000000000000002e-01,1.0042367951592583e+03,9.7519564164939425e+01
9.0249999999999997e-01,1.0070263418124786e+03,9.7527915066828498e+01
9.0500000000000003e-01,1.0098158884656987e+03,9.7536265968717601e+01
9.0749999999999997e-01,1.0126054351189189e+03,9.7544616870606703e+01
9.1000000000000003e-01,1.0153949817721391e+03,9.7552967772495805e+01
9.1249999999999998e-01,1.0181845284253592e+03,9.7560396003571512e+01
9.1500000000000004e-01,1.0209740750785794e+03,9.7567804285008037e+01
9.1749999999999998e-01,1.0237636217317996e+03,9.7575212566444549e+01
9.2000000000000004e-01,1.0265531683850197e+03,9.7582620847881074e+01
9.2249999999999999e-01,1.0293427150382397e+03,9.7589302379156848e+01
9.2500000000000004e-01,1.0321322616914601e+03,9.7595736506122549e+01
9.2749999999999999e-01,1.0349218083446801e+03,9.7602170633088292e+01
9.3000000000000005e-01,1.0377113549979003e+03,9.7608604760054007e+01
9.3250000000000000e-01,1.0405009016511206e+03,9.7614577366249009e+01
9.3500000000000005e-01,1.0432904483043405e+03,9.7620112241403746e+01
9.3750000000000000e-01,1.0460799949575608e+03,9.7625647116558454e+01
9.4000000000000006e-01,1.0488695416107810e+03,9.7631181991713191e+01
9.4250000000000000e-01,1.0516590882640012e+03,9.7636466588870022e+01
9.4500000000000006e-01,1.0544486349172214e+03,9.7641108963239830e+01
9.4750000000000001e-01,1.0572381815704416e+03,9.7645751337609653e+01
9.5000000000000007e-01,1.0600277282236616e+03,9.7650393711979476e+01
9.5250000000000001e-01,1.0628172748768818e+03,9.7654991694638383e+01
9.5500000000000007e-01,1.0656068215301020e+03,9.7658701843079513e+01
9.5750000000000002e-01,1.0683963681833220e+03,9.7662411991520642e+01
9.5999999999999996e-01,1.0711859148365422e+03,9.7666122139961757e+01
9.6250000000000002e-01,1.0739754614897624e+03,9.7669832288402887e+01
